,Type,Year Built,Heating,Cooling,Parking,Lot,Price/sqft,Buyers Agency Fee,zpid
453,Mobile home,Built in 1985,"Forced air, propane","Central air, electric",1 Carport space,,,3% buyers agency fee,11055140
454,Single family residence,,"Forced air, natural gas","Central air, electric",2 Attached garage spaces,0.28 Acres,,3% buyers agency fee,11035598
455,Single family residence,Built in 2017,"Central, electric",Central air,2 Attached garage spaces,0.75 Acres,$179 price/sqft,3% buyers agency fee,262276127
456,Single family residence,Built in 1980,"Central, heat pump 1st lvl, split system, fireplace(s)","Central air, heat pump 1st lvl, split system, attic fan",4 Parking spaces,5.78 Acres,$176 price/sqft,,11746535
457,Single family residence,Built in 1959,Gas water heater,No data,Open parking,0.38 Acres,$75 price/sqft,,88991962
458,Single family residence,,Electric,Central air,1 Attached garage space,0.99 Acres,,3% buyers agency fee,11029247
459,Single family residence,Built in 2019,"Central, electric",Central air,2 Attached garage spaces,0.28 Acres,$196 price/sqft,3% buyers agency fee,333123171
460,Single family residence,Built in 1950,"Central, electric",Central air,8 Open parking spaces,0.60 Acres,$90 price/sqft,2.5% buyers agency fee,2111026523
461,Single family residence,Built in 2000,"Electric, heat pump, fireplace(s)",Central air,2 Garage spaces,7.42 Acres,$264 price/sqft,3% buyers agency fee,11813007
462,Single family detached,Built in 2000,No data,Central air,No data,1.11 Acres,$133 price/sqft,2.50% buyers agency fee,55321742
463,Single family residence,Built in 2010,Central,Central air,2 Attached garage spaces,0.41 Acres,$139 price/sqft,,88011559
464,Single family residence,Built in 1966,Natural gas,Central air,2 Carport spaces,0.31 Acres,,3% buyers agency fee,11090567
465,Single family residence,Built in 1956,"Central, gas pac, fireplace(s)","Central air, gas pac",Attached garage,0.47 Acres,$192 price/sqft,,11718053
466,Single family residence,Built in 1844,"Central, electric, split system","Central air, split system",10 Parking spaces,57.59 Acres,$172 price/sqft,,121974284
467,Single family residence,Built in 2020,"Natural gas, forced air, zoned, fireplace(s)",Central air,2 Attached garage spaces,0.42 Acres,$154 price/sqft,3% buyers agency fee,332953340
468,Single family residence,,Natural gas,Central air,"No garage, none",No data,,3% buyers agency fee,67580287
469,Single family detached,Built in 2016,Heat pump,Central air,4 Garage spaces,1.75 Acres,$188 price/sqft,3.00% buyers agency fee,199228654
470,Townhouse,Built in 2005,"Central, gas hot air furnace, heat pump, multizone a/c, zoned","Central air, heat pump, zoned",1 Attached garage space,"2,178 sqft",$180 price/sqft,,2060678408
471,Single family residence,,Heat pump,Heat pump,No data,0.51 Acres,$123 price/sqft,3% buyers agency fee,2060694864
472,Single family residence,Built in 1985,"Central, electric, fireplace(s)",Central air,2 Attached garage spaces,0.47 Acres,$152 price/sqft,3.00% buyers agency fee,10979488
473,Mobile home,Built in 2003,"Electric, forced air","Central air, electric","No garage, none",,,3% buyers agency fee,96486816
474,Single family residence,Built in 1961,Central,Central air,No garage,0.27 Acres,$111 price/sqft,,11691533
475,Residential,Built in 1967,Heat pump,Heat pump,2 Carport spaces,0.56 Acres,$132 price/sqft,2.5% buyers agency fee,69185461
476,Single family residence,Built in 2004,"Electric, heat pump 1st lvl, split system","Heat pump 1st lvl, split system",2 Attached garage spaces,0.32 Acres,$218 price/sqft,,55340167
477,Single family residence,Built in 1989,None,None,Underground,No data,$84 price/sqft,,68801261
478,Single family residence,,"Propane, forced air, fireplace(s)",Central air,Carport,1 Acres,$96 price/sqft,2.5% buyers agency fee,11770552
479,Single family residence,Built in 2022,Electric,"Central air, electric",1 Attached garage space,0.30 Acres,,3% buyers agency fee,2060673785
480,Condominium,Built in 1950,No data,Wall/window unit(s),1.5 Parking spaces,,$353 price/sqft,3% buyers agency fee,2064835696
481,Single family residence,Built in 2004,"Central, electric",Central air,4 Garage spaces,5.60 Acres,$108 price/sqft,3% buyers agency fee,72271584
482,Single family residence,Built in 1959,"Central electric, heat pump","Central electric, heat pump, ceiling fan(s)",2 Carport spaces,0.54 Acres,$258 price/sqft,2.50% buyers agency fee,66660886
483,Single family residence,Built in 2001,"Central, electric",Central air,2 Attached garage spaces,"9,147 sqft",$130 price/sqft,,55341423
484,Single family residence,,Central gas,Heat pump,2 Garage spaces,No data,$199 price/sqft,3% buyers agency fee,10808858
485,Single family residence,Built in 2017,Electric,Central air,2 Attached garage spaces,"5,662 sqft",$153 price/sqft,,246224161
486,Single family residence,Built in 1964,Central,Central air,2 Attached garage spaces,0.36 Acres,$170 price/sqft,,11714675
487,Single family residence,,Natural gas,Central air,2 Attached garage spaces,1.10 Acres,$147 price/sqft,3% buyers agency fee,83192006
488,Single family detached,Built in 1992,No data,Central air,2 Garage spaces,0.26 Acres,$253 price/sqft,3.00% buyers agency fee,10959086
489,Single family residence,Built in 2009,"Central, electric",Central air,2 Attached garage spaces,0.35 Acres,$227 price/sqft,2.5% buyers agency fee,80962983
490,Single family detached,Built in 1978,Forced air,Central air,1 Garage space,"10,018 sqft",$240 price/sqft,2.50% buyers agency fee,10847045
491,Single family residence,Built in 1975,Central,Central air,2 Attached garage spaces,0.30 Acres,$130 price/sqft,,11217297
492,Single family residence,Built in 2009,Central,Central air,2 Attached garage spaces,0.26 Acres,$154 price/sqft,,114159926
493,Single family residence,Built in 2018,"Central, fireplace(s)",Central air,3 Attached garage spaces,0.30 Acres,$252 price/sqft,2.5% buyers agency fee,104405791
494,Single family detached,Built in 2015,Heat pump,Central air,3 Garage spaces,0.36 Acres,$271 price/sqft,3.00% buyers agency fee,110236456
495,Single family residence,Built in 2010,"Central, gas hot air furnace",Central air,2 Attached garage spaces,0.33 Acres,$255 price/sqft,,102989716
496,Single family residence,Built in 1964,Central,Central air,4 Attached garage spaces,0.31 Acres,$96 price/sqft,,75240068
497,Condominium,Built in 2006,"Central, electric",Central air,Garage,,$168 price/sqft,3% buyers agency fee,2132070758
498,Single family residence,Built in 2005,"Central gas, heat pump, zoned, natural gas","Heat pump, zoned",2 Attached garage spaces,1.24 Acres,$189 price/sqft,2.5% buyers agency fee,70957545
499,Single family residence,Built in 2018,"Gas 1st lvl, heat pump 2nd lvl, zoned",Central air,2 Attached garage spaces,"10,454 sqft",$169 price/sqft,,300047826
500,Single family detached,Built in 1885,Heat pump,Central air,Off street,"3,484 sqft",$337 price/sqft,3.00% buyers agency fee,10906125
501,"Single family residence, mobile home",Built in 1992,"Electric, heat pump, fireplace(s)",Heat pump,Open parking,,$98 price/sqft,3% buyers agency fee,70192187
502,Manufactured home,Built in 1994,Gas pac,Central air,No garage,,$144 price/sqft,,144754857
503,Single family residence,Built in 1997,"Central electric, heat pump","Central electric, heat pump, ceiling fan(s)",1 Attached garage space,"4,356 sqft",$226 price/sqft,3.0% buyers agency fee,68804848
504,Single family residence,,"Electric, forced air","Central air, electric","No garage, none","9,147 sqft",,3% buyers agency fee,11006955
505,Single family detached,Built in 1983,No data,No data,No data,"6,098 sqft",$164 price/sqft,2.50% buyers agency fee,10963380
506,Single family residence,Built in 2019,"Central electric, heat pump","Central electric, ceiling fan(s)",2 Attached garage spaces,"6,098 sqft",$200 price/sqft,3% buyers agency fee,333040032
507,Single family detached,Built in 1966,Electric,Central air,1 Carport space,0.50 Acres,$80 price/sqft,2.50% buyers agency fee,102515169
508,Single family residence,Built in 2013,Central,Central air,2 Attached garage spaces,No data,$126 price/sqft,,144737416
509,Single family residence,Built in 2022,"Central, split system","Central air, split system",2 Attached garage spaces,6.29 Acres,$271 price/sqft,,83196841
510,Single family residence,Built in 1982,No data,No data,3 Carport spaces,"9,147 sqft",$289 price/sqft,3% buyers agency fee,11169919
511,Single family detached,Built in 2014,Electric,Central air,1 Garage space,0.28 Acres,$615 price/sqft,2.50% buyers agency fee,110208877
512,Single family detached,Built in 2001,No data,No data,Off street,"10,018 sqft",$205 price/sqft,2.50% buyers agency fee,10867905
513,Single family residence,Built in 2006,Central,Central air,2 Parking spaces,871.20 Sqft,$123 price/sqft,,71271575
514,Single family residence,Built in 2001,"Electric, heat pump","Central air, electric",Open parking,5.51 Acres,$127 price/sqft,2.00% buyers agency fee,88983593
515,Single family residence,Built in 1988,Electric,Central air,No garage,"4,356 sqft",$134 price/sqft,,11196494
516,Single family residence,Built in 1984,Heat pump,Central air,2 Attached garage spaces,0.31 Acres,$144 price/sqft,2.50% buyers agency fee,52155377
517,Single family detached,Built in 2014,Natural gas,Central air,2 Garage spaces,"4,791 sqft",$277 price/sqft,2.50% buyers agency fee,125935184
518,Single family residence,Built in 2018,"Central, gas hot air furnace",Central air,2 Attached garage spaces,"9,844 sqft",$184 price/sqft,,243737475
519,Mobile home,Built in 2019,"Central, electric, forced air",Central air,2 Attached garage spaces,,$128 price/sqft,3% buyers agency fee,262286058
520,Single family residence,Built in 2016,"Central, gas hot air furnace, multizone a/c, zoned, natural gas","Central air, zoned, gas",1 Attached garage space,"6,098 sqft",$211 price/sqft,,121205922
521,Single family residence,Built in 2007,Natural gas,"Central air, electric",2 Attached garage spaces,"9,583 sqft",,2.5% buyers agency fee,84742540
522,Single family detached,Built in 1997,Forced air,Central air,2 Garage spaces,0.26 Acres,$182 price/sqft,2.50% buyers agency fee,10968332
523,Single family residence,,Electric,Central air,No garage,1.65 Acres,,3% buyers agency fee,325950596
524,Single family residence,,Propane,None,2 Carport spaces,"8,712 sqft",,3% buyers agency fee,11031068
525,Single family residence,Built in 2022,"Forced air, gas pack","Central air, electric",1 Attached garage space,"6,098 sqft",$158 price/sqft,3.00% buyers agency fee,2060675891
526,Manufactured on land,Built in 1977,No data,No data,1 Attached garage space,,$139 price/sqft,2.5% buyers agency fee,11127467
527,Condominium,Built in 2017,"Central, electric",Central air,Assigned,,$175 price/sqft,3% buyers agency fee,2064788937
528,Single family detached,Built in 1998,Forced air,Central air,2 Attached garage spaces,"7,840 sqft",$185 price/sqft,2.50% buyers agency fee,67599015
529,Single family detached,Built in 2005,Heat pump,Central air,2 Attached garage spaces,"10,018 sqft",$347 price/sqft,3.00% buyers agency fee,82547876
530,Single family residence,Built in 1985,Electric,Split system,No garage,0.29 Acres,$137 price/sqft,,11662119
531,Residential,Built in 2006,Heat pump,Heat pump,2 Garage spaces,1.73 Acres,$103 price/sqft,2.5% buyers agency fee,69177770
532,Single family residence,Built in 1956,"Central, electric",Central air,8 Open parking spaces,"10,018 sqft",$172 price/sqft,3% buyers agency fee,2060757214
533,Townhouse,,Forced air,"Central air, electric","No garage, none",,,3% buyers agency fee,82541211
534,Single family detached,Built in 1984,Electric,Central air,2 Attached garage spaces,0.30 Acres,$175 price/sqft,2.50% buyers agency fee,10848145
535,Single family residence,,"Forced air, natural gas",Central air,1 Garage space,No data,$135 price/sqft,2.5% buyers agency fee,72544347
536,Single family residence,Built in 2014,"Central, electric",Central air,2 Attached garage spaces,0.40 Acres,$145 price/sqft,,92248796
537,Single family residence,Built in 1982,Central,Central air,2 Open parking spaces,0.27 Acres,$210 price/sqft,2.5% buyers agency fee,10982110
538,Residential,Built in 1940,Natural gas,No data,2 Carport spaces,0.29 Acres,$93 price/sqft,2.5% buyers agency fee,69180171
539,Condominium,Built in 1982,"Central, electric",Central air,"Assigned, owner allowed golf cart",,$337 price/sqft,3% buyers agency fee,2060706710
540,Single family residence,Built in 2012,"Central, electric",Central air,2 Attached garage spaces,"6,969 sqft",$209 price/sqft,3% buyers agency fee,108781125
541,Single family residence,,"Electric, forced air","Central air, electric","See parking features, side/rear entry",0.46 Acres,,2.5% buyers agency fee,11091802
542,Single family residence,Built in 2004,"Central, gas hot air furnace",Central air,3 Attached garage spaces,0.28 Acres,$194 price/sqft,,71260029
543,Single family residence,Built in 2007,"Central, gas hot air furnace",Central air,3 Attached garage spaces,1.14 Acres,$209 price/sqft,,90070109
544,Single family residence,Built in 2007,Central,Central air,4 Open parking spaces,0.45 Acres,$177 price/sqft,3% buyers agency fee,92410829
545,Single family residence,,Forced air,Central air,Carport,No data,,3% buyers agency fee,10993448
546,Mobile home,,Electric,Central air,"No garage, none",,,3% buyers agency fee,11060075
547,Single family residence,Built in 1998,"Central electric, heat pump","Central electric, heat pump, ceiling fan(s)",2 Attached garage spaces,0.31 Acres,$204 price/sqft,3.00% buyers agency fee,68804561
548,Single family detached,Built in 1960,No data,Central air,No data,"10,454 sqft",$156 price/sqft,2.50% buyers agency fee,10899676
549,Single family residence,Built in 1958,Forced air,See remarks,1 Carport space,No data,$99 price/sqft,2.50% buyers agency fee,52178703
550,Single family residence,Built in 2000,"Central, heat pump, zoned",Heat pump,3 Garage spaces,No data,$489 price/sqft,,68822505
551,Single family residence,Built in 1998,"Central electric, heat pump",Central air,1 Attached garage space,0.40 Acres,$246 price/sqft,2.5% buyers agency fee,70958638
552,Single family residence,,"Electric, see remarks",Window unit(s),No garage,No data,,3% buyers agency fee,195150925
553,Single family residence,Built in 2024,"Central, electric",Central air,1 Attached garage space,0.25 Acres,$182 price/sqft,3% buyers agency fee,11101374
554,Single family residence,Built in 2014,"Fireplace(s), forced air","Central air, other",3 Attached garage spaces,0.90 Acres,$115 price/sqft,2.50% buyers agency fee,110177511
555,Condominium,Built in 1992,Central electric,Central air,No garage,,$163 price/sqft,2.500% buyers agency fee,82562230
556,Single family residence,Built in 2016,Electric,"Central air, electric",2 Attached garage spaces,1 Acres,,2.5% buyers agency fee,242979178
557,Single family residence,Built in 1970,"Central, heat pump 1st lvl, fireplace(s)","Central air, attic fan",6 Parking spaces,0.50 Acres,$125 price/sqft,,144771591
558,Single family residence,Built in 1996,"Heat pump, propane","Central air, heat pump",2 Garage spaces,0.31 Acres,$181 price/sqft,,108235565
559,Townhouse,,"Electric, forced air","Central air, electric","See parking features, assigned parking 2 sp",,,3% buyers agency fee,11047842
560,Single family residence,Built in 2019,"Forced air, natural gas",Central air,2 Attached garage spaces,0.34 Acres,,3% buyers agency fee,195158901
561,Single family residence,Built in 1990,"Electric, central","Electric, ceiling fan(s), central air",Open parking,0.93 Acres,$214 price/sqft,,14416165
562,Single family residence,Built in 2001,Natural gas,Central air,2 Garage spaces,0.40 Acres,$129 price/sqft,2.50% buyers agency fee,61919200
563,Condominium,Built in 1989,Central,"Ceiling fan(s), central air",2 Garage spaces,,$340 price/sqft,3% buyers agency fee,2087926892
564,Single family residence,Built in 2001,"Forced air, natural gas",None,2 Garage spaces,0.27 Acres,$196 price/sqft,2.00% buyers agency fee,205779461
565,Townhouse,Built in 2004,Electric,Central air,None,"2,652 sqft",$147 price/sqft,2.00% buyers agency fee,60022255
566,Single family residence,Built in 1924,Natural gas,"Ceiling fan(s), central air, window unit(s)",Open parking,"9,104 sqft",$148 price/sqft,3% buyers agency fee,14839115
567,Single family residence,Built in 1988,"Forced air, natural gas",None,2 Attached garage spaces,"2,613 sqft",$164 price/sqft,2.50% buyers agency fee,14905986
568,Single family residence,Built in 1971,Central,Central air,2 Attached garage spaces,1.50 Acres,$71 price/sqft,,49852030
569,Single family residence,Built in 2016,"Central, heat pump","Central air, heat pump",2 Attached garage spaces,"10,018 sqft",$140 price/sqft,,103574166
570,Single family residence,Built in 1970,Central,"Ceiling fan(s), central air",4 Attached garage spaces,0.46 Acres,$133 price/sqft,3% buyers agency fee,14286059
571,Single family residence,Built in 1966,No data,No data,Open parking,0.92 Acres,$54 price/sqft,,105317964
572,Single family residence,Built in 1991,Electric,Central air,None,3 Acres,$122 price/sqft,3% buyers agency fee,228821600
573,Single family residence,Built in 2004,"Forced air, natural gas","Ceiling fan(s), central air",2 Attached garage spaces,0.26 Acres,$208 price/sqft,3% buyers agency fee,68630510
574,Single family residence,Built in 2003,Central,Central air,2 Covered parking spaces,0.46 Acres,$161 price/sqft,,76329582
575,Single family residence,Built in 1996,"Central, heat pump","Ceiling fan(s), central air",2 Attached garage spaces,1.10 Acres,$117 price/sqft,2.5% buyers agency fee,14863784
576,Single family residence,Built in 1952,Central,Central air,No data,0.57 Acres,$73 price/sqft,,76337663
577,Single family residence,Built in 1980,Central,Central air,2 Garage spaces,0.26 Acres,$145 price/sqft,3% buyers agency fee,171113972
578,Single family residence,Built in 1982,Central,Central air,2 Garage spaces,0.49 Acres,$138 price/sqft,3% buyers agency fee,49829757
579,Single family residence,Built in 1940,Natural gas,Other,Open parking,"8,712 sqft",$216 price/sqft,3% buyers agency fee,14458388
580,Single family residence,Built in 1999,Central,"Ceiling fan(s), central air",Open parking,2.88 Acres,$174 price/sqft,3% buyers agency fee,229289891
581,Single family residence,Built in 1962,Central,Central air,2 Carport spaces,0.63 Acres,$91 price/sqft,,14934048
582,Single family residence,Built in 1996,"Central, natural gas, zoned","Ceiling fan(s), central air, zoned",2 Garage spaces,0.54 Acres,$131 price/sqft,3% buyers agency fee,14746706
583,Single family residence,Built in 1996,Natural gas,"Ceiling fan(s), central air",2 Attached garage spaces,0.36 Acres,$120 price/sqft,3% buyers agency fee,14708537
584,Detached single family,Built in 1970,"Heat: central gas, fireplace(s)",A/c: central electric,Open parking,2.66 Acres,$40 price/sqft,,76599920
585,Single family residence,Built in 1994,"Central, electric, zoned","Ceiling fan(s), central air, zoned",2 Garage spaces,0.30 Acres,$190 price/sqft,3% buyers agency fee,60952244
586,Single family residence,Built in 2003,"Electric, heat pump","Ceiling fan(s), central air",2 Attached garage spaces,0.73 Acres,$160 price/sqft,3% buyers agency fee,83362763
587,Single family residence,Built in 2018,"Electric, central","Electric, ceiling fan(s), central air",2 Attached garage spaces,0.55 Acres,$136 price/sqft,,99882795
588,Single family residence,Built in 2020,"Central, heat pump",Central electric,Open parking,0.75 Acres,,,228828341
589,Single family residence,Built in 1996,"Central, forced air, natural gas","Ceiling fan(s), central air, electric",2 Garage spaces,1.77 Acres,$188 price/sqft,,14409390
590,Single family residence,Built in 2015,"Electric, heat pump","Central air, electric",2 Carport spaces,1.85 Acres,$188 price/sqft,,243422287
591,Single family residence,Built in 1900,"Central, forced air, natural gas","Ceiling fan(s), central air",2 Garage spaces,3.46 Acres,$229 price/sqft,3% buyers agency fee,51087123
592,Single family residence,Built in 2002,"Forced air, natural gas",Ceiling fan(s),2 Garage spaces,0.30 Acres,$194 price/sqft,3% buyers agency fee,60835786
593,Single family residence,Built in 1962,None,None,None,No data,,3% buyers agency fee,14341282
594,Single family residence,Built in 1995,"Central, natural gas","Ceiling fan(s), central air",2 Garage spaces,0.38 Acres,$203 price/sqft,3% buyers agency fee,14832627
595,Single family residence,Built in 2017,"Central, electric, generator",Central electric,Attached garage,3 Acres,$196 price/sqft,,228818411
596,Single family residence,Built in 1985,Forced air,Central air,Attached garage,"4,356 sqft",$104 price/sqft,,14498433
597,Single family residence,Built in 2021,"Central, electric, zoned","Ceiling fan(s), central air",2 Garage spaces,"9,670 sqft",$157 price/sqft,3% buyers agency fee,2060714697
598,Single family residence,Built in 1999,"Central, heat pump","Central heat pump, see remarks",Open parking,0.77 Acres,$135 price/sqft,,2062668900
599,Single family residence,Built in 1979,"Forced air, natural gas","Ceiling fan(s), central air",3 Garage spaces,0.51 Acres,$138 price/sqft,3% buyers agency fee,51100488
600,Single family residence,Built in 2005,"Central, natural gas","Ceiling fan(s), central air",2 Garage spaces,"10,018 sqft",$120 price/sqft,3% buyers agency fee,71758514
601,Single family residence,Built in 1987,Central,Ceiling fan(s),1 Garage space,1.03 Acres,$177 price/sqft,3% buyers agency fee,14730238
602,Single family residence,Built in 1986,Forced air,Central air,Attached garage,0.76 Acres,$101 price/sqft,,14973998
603,Single family residence,Built in 1963,"Central, electric","Central air, zoned",1 Garage space,"10,354 sqft",$153 price/sqft,3.0% buyers agency fee,35872596
604,Single family residence,Built in 2004,Central,"Ceiling fan(s), central air",2 Garage spaces,No data,,2.5% buyers agency fee,80169217
605,Single family residence,Built in 1999,"Central, electric, natural gas",Central air,2 Garage spaces,0.69 Acres,$187 price/sqft,3% buyers agency fee,55490447
606,Single family residence,Built in 1949,Central,Central air,1 Carport space,0.35 Acres,$194 price/sqft,3% buyers agency fee,14849842
607,Single family residence,Built in 1991,"Natural gas, central, hot water","Electric, central air",Garage,0.46 Acres,$176 price/sqft,,69897961
608,Single family residence,Built in 1957,"Central, propane","Central air, electric",3 Garage spaces,5.68 Acres,$129 price/sqft,,118313919
609,Single family residence,Built in 1998,Central,"Ceiling fan(s), central air",2 Garage spaces,3.65 Acres,$122 price/sqft,3% buyers agency fee,14597181
610,Single family residence,Built in 2005,"Forced air, natural gas",Central air,2 Garage spaces,0.30 Acres,$154 price/sqft,3% buyers agency fee,70832564
611,Single family residence,Built in 2006,Electric,Ceiling fan(s),2 Garage spaces,0.42 Acres,$142 price/sqft,3.00% buyers agency fee,71126664
612,Single family residence,Built in 2000,Central,Central air,2 Garage spaces,"8,102 sqft",$121 price/sqft,2.5% buyers agency fee,58507537
613,Single family residence,Built in 1940,"Central, heat pump","Central air, electric",Off street,0.49 Acres,$126 price/sqft,,223793730
614,Single family residence,Built in 2004,Central,Central electric,Open parking,1.13 Acres,,,105420645
615,Single family residence,Built in 1988,"Central, forced air, natural gas","Ceiling fan(s), central air",2 Garage spaces,0.37 Acres,$186 price/sqft,3% buyers agency fee,14230214
616,Single family residence,Built in 2006,Central,Central air,2 Attached garage spaces,0.83 Acres,$142 price/sqft,,71367996
617,Single family residence,Built in 2006,"Central, electric, propane","Central air, electric, heat pump",2 Garage spaces,0.25 Acres,$174 price/sqft,,99381131
618,Single family residence,Built in 1994,Central,Ceiling fan(s),2 Garage spaces,0.26 Acres,$196 price/sqft,3% buyers agency fee,14343006
619,Single family residence,Built in 2007,"Electric, heat pump","Central air, electric",3 Garage spaces,1.02 Acres,$131 price/sqft,,99925676
620,Single family residence,Built in 1982,Central,Central air,3 Open parking spaces,0.74 Acres,$163 price/sqft,2.5% buyers agency fee,14773764
621,Single family residence,Built in 2012,"Forced air, natural gas",Central air,2 Garage spaces,0.26 Acres,$175 price/sqft,2.5% buyers agency fee,98016112
622,Single family residence,Built in 2015,Central,Electric,2 Garage spaces,0.59 Acres,$180 price/sqft,3% buyers agency fee,88810365
623,Single family residence,Built in 2007,"Central, heat pump",Central heat pump,Open parking,1.53 Acres,$253 price/sqft,,96829655
624,"Single family residence, mobile home",Built in 1999,"Electric, other",Central air,"Dirt, other",,$81 price/sqft,,55141532
625,Single family residence,Built in 1937,Natural gas,Central air,2 Attached garage spaces,1.97 Acres,$146 price/sqft,,76339940
626,Single family residence,Built in 2006,Central,"Ceiling fan(s), central air",2 Garage spaces,0.39 Acres,$163 price/sqft,3% buyers agency fee,237719232
627,Single family residence,Built in 1985,"Electric, central, heat pump","Ceiling fan(s), central air",4 Carport spaces,1.13 Acres,$225 price/sqft,,69995306
628,Single family residence,Built in 2016,"Electric, heat pump",Heat pump,2 Garage spaces,0.95 Acres,$157 price/sqft,3.00% buyers agency fee,101246336
629,Single family residence,Built in 1972,Central,Central air,Garage,0.46 Acres,$128 price/sqft,,69901708
630,Single family residence,Built in 2022,Heat pump,Heat pump,3 Attached garage spaces,0.59 Acres,$160 price/sqft,,103613806
631,Single family residence,Built in 1975,Electric,"Ceiling fan(s), central air",1 Carport space,0.27 Acres,$109 price/sqft,,14976528
632,Single family residence,Built in 1961,"Central, electric",Central air,1 Carport space,0.43 Acres,$147 price/sqft,3% buyers agency fee,35825509
633,Single family residence,Built in 1966,Heat pump,"Central air, attic fan, ceiling fan(s)",2 Attached garage spaces,0.30 Acres,$149 price/sqft,3% buyers agency fee,14436645
634,Single family residence,Built in 2015,Electric,"Ceiling fan(s), central air",Garage,0.50 Acres,$193 price/sqft,,58501091
635,Single family residence,Built in 1990,"Central, forced air, natural gas","Ceiling fan(s), central air",2 Attached garage spaces,0.31 Acres,$184 price/sqft,3% buyers agency fee,51097433
636,Single family residence,Built in 1972,"Central, electric, forced air, hot water",Central air,2 Attached garage spaces,0.85 Acres,$180 price/sqft,3% buyers agency fee,14718320
637,Single family residence,Built in 2005,"Forced air, natural gas","Ceiling fan(s), central air",3 Attached garage spaces,1.12 Acres,$227 price/sqft,3% buyers agency fee,71756728
638,Single family residence,Built in 2006,"Electric, heat pump","Central air, electric",2 Garage spaces,0.60 Acres,$199 price/sqft,,91029781
639,Single family residence,Built in 1987,Natural gas,Other,2 Attached garage spaces,0.34 Acres,$192 price/sqft,3% buyers agency fee,14288115
640,Single family residence,Built in 1991,"Central, natural gas","Ceiling fan(s), central air, zoned",2 Attached garage spaces,0.26 Acres,$164 price/sqft,3.0% buyers agency fee,14808681
641,Single family residence,Built in 1969,Electric,Central air,1 Carport space,0.30 Acres,$137 price/sqft,3% buyers agency fee,14526052
642,Single family residence,Built in 2001,"Central, electric","Central air, electric, heat pump",Garage,0.26 Acres,$148 price/sqft,,76359527
643,Single family residence,Built in 1997,"Central, forced air","Ceiling fan(s), central air",1 Attached garage space,5 Acres,$179 price/sqft,2.5% buyers agency fee,49836389
644,Single family residence,Built in 2002,"Electric, heat pump","Electric, heat pump",2 Garage spaces,0.28 Acres,$187 price/sqft,,76359108
645,Single family residence,Built in 1977,"Central, natural gas","Central air, whole house fan",2 Attached garage spaces,0.50 Acres,$231 price/sqft,3% buyers agency fee,51108762
646,Single family residence,Built in 1962,"Central, natural gas",Central air,1 Carport space,0.37 Acres,$205 price/sqft,3% buyers agency fee,14116979
647,Single family residence,Built in 1986,Central,"Attic fan, ceiling fan(s), central air, whole house fan",2 Attached garage spaces,0.46 Acres,$266 price/sqft,3% buyers agency fee,14308608
648,Single family residence,Built in 1980,"Forced air, natural gas","Ceiling fan(s), central air",2 Carport spaces,0.49 Acres,$200 price/sqft,3% buyers agency fee,14734637
649,Single family residence,Built in 1998,Central,Central air,4 Garage spaces,1.70 Acres,$193 price/sqft,3% buyers agency fee,2063700911
650,Single family residence,Built in 1999,"Central, heat pump",Central electric,Garage,0.60 Acres,,,105411037
651,Single family residence,Built in 2022,"Electric, heat pump, natural gas","Ceiling fan(s), central air",2 Attached garage spaces,0.32 Acres,$164 price/sqft,,2060673907
652,Single family residence,Built in 1955,"Central, electric","Central air, electric","Attached, garage, off street, rear/side/off street, on street",0.36 Acres,$141 price/sqft,,14176956
653,Single family residence,Built in 1987,Central,Central air,2 Garage spaces,0.48 Acres,$195 price/sqft,2.5% buyers agency fee,237722839
654,Single family residence,Built in 1986,"Central, natural gas","Ceiling fan(s), central air",3 Garage spaces,0.52 Acres,$250 price/sqft,3% buyers agency fee,14653154
655,Single family residence,Built in 1996,Natural gas,"Ceiling fan(s), central air",2 Attached garage spaces,0.72 Acres,$163 price/sqft,3% buyers agency fee,69856621
656,Single family residence,Built in 1996,"Central, forced air, zoned","Ceiling fan(s), central air, whole house fan, zoned",2 Open parking spaces,1.52 Acres,$208 price/sqft,3.0% buyers agency fee,227622950
657,Single family residence,Built in 2002,"Central, natural gas, zoned","Ceiling fan(s), central air, zoned",2 Attached garage spaces,0.27 Acres,$191 price/sqft,3% buyers agency fee,58598222
658,Singlefamily,Built in 1975,Other,Central,"Carport, garage",3 Acres,$108 price/sqft,,105204114
659,Single family residence,Built in 1976,"Central, forced air","Ceiling fan(s), central air",Attached garage,0.50 Acres,$190 price/sqft,,14899124
660,Single family residence,Built in 1999,"Central, natural gas, zoned","Attic fan, ceiling fan(s), central air, zoned",2 Attached garage spaces,0.48 Acres,$178 price/sqft,3% buyers agency fee,35816441
661,Single family residence,Built in 2022,"Central, forced air",Electric,3 Garage spaces,0.89 Acres,$199 price/sqft,3.0% buyers agency fee,227386413
662,Singlefamily,Built in 2006,"Heat pump, other, electric",Central,2 Parking spaces,"5,227 sqft",$117 price/sqft,,93099965
663,Single family residence,Built in 1947,Heat pump,Central air,Carport,2.22 Acres,$70 price/sqft,,14927953
664,Single family residence,Built in 1964,"Electric, forced air","Ceiling fan(s), central air",Concrete,0.26 Acres,$86 price/sqft,,14978547
665,Single family residence,Built in 1992,"Forced air, natural gas",Central air,2 Attached garage spaces,0.31 Acres,$229 price/sqft,3% buyers agency fee,14806255
